54.36.148.112 - - [31/Jan/2023:16:19:13 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
213.180.203.216 - - [31/Jan/2023:16:19:58 -0800] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.forgive490.com"
213.180.203.181 - - [31/Jan/2023:16:19:58 -0800] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "forgive490.com"
213.180.203.154 - - [31/Jan/2023:16:19:58 -0800] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "forgive490.com"
213.180.203.19 - - [31/Jan/2023:16:19:58 -0800] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "forgive490.com"
95.108.213.177 - - [31/Jan/2023:16:19:58 -0800] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.forgive490.com"
114.119.137.184 - - [31/Jan/2023:16:29:42 -0800] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "forgive490.com"
173.252.127.119 - - [31/Jan/2023:17:11:08 -0800] "GET /img/cover.jpg HTTP/1.1" 200 12092 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:57 -0800] "GET /EasyBasketweaveBabyBlanket.pdf HTTP/1.1" 200 191698 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:57 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:57 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:57 -0800] "GET /favicon.ico HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:57 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
96.230.144.75 - - [31/Jan/2023:17:28:57 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 88 "-" "Safari/10603.3.8 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "www.forgive490.com"
