185.191.171.16 - - [30/Oct/2022:17:13:20 -0700] "GET /bibleviet/endofstory.html HTTP/1.1" 200 2263 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" "forgive490.com"
69.232.157.230 - - [30/Oct/2022:17:17:26 -0700] "GET /EasyBasketweaveBabyBlanket.php HTTP/1.1" 200 11939 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6,2 Mobile/15E148 Safari/604.1" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:02 -0700] "GET /EasyBasketweaveBabyBlanket.php HTTP/1.1" 200 11939 "-" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:03 -0700] "GET /css/styles.css HTTP/1.1" 200 379 "https://www.forgive490.com/EasyBasketweaveBabyBlanket.php" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:03 -0700] "GET /exploreGod.png HTTP/1.1" 200 3730 "https://www.forgive490.com/EasyBasketweaveBabyBlanket.php" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:03 -0700] "GET /largeprinteditionoutforwebsite.jpg HTTP/1.1" 200 22436 "https://www.forgive490.com/EasyBasketweaveBabyBlanket.php" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:03 -0700] "GET /EasyBasketweaveBabyBlanket_files/image002.jpg HTTP/1.1" 200 8807 "https://www.forgive490.com/EasyBasketweaveBabyBlanket.php" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:03 -0700] "GET /Ravelry.JPG HTTP/1.1" 200 10196 "https://www.forgive490.com/EasyBasketweaveBabyBlanket.php" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:03 -0700] "GET /img/cover.jpg HTTP/1.1" 200 12092 "https://www.forgive490.com/EasyBasketweaveBabyBlanket.php" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:03 -0700] "GET /square.jpg HTTP/1.1" 200 4309724 "https://www.forgive490.com/EasyBasketweaveBabyBlanket.php" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:03 -0700] "GET /img/whitesand.jpg HTTP/1.1" 200 54911 "https://www.forgive490.com/css/styles.css" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:09 -0700] "GET /favicon.ico HTTP/1.1" 404 88 "https://www.forgive490.com/EasyBasketweaveBabyBlanket.php" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
50.228.168.146 - - [30/Oct/2022:17:33:33 -0700] "GET /EasyBasketweaveBabyBlanket.php HTTP/1.1" 200 11939 "-" "Mozilla/5.0 (Linux; Android 10; moto e) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36" "www.forgive490.com"
35.140.249.74 - - [30/Oct/2022:17:48:20 -0700] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1" "www.forgive490.com"
51.222.253.4 - - [30/Oct/2022:17:54:52 -0700] "GET /recipe.php HTTP/1.1" 200 10754 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.forgive490.com"
185.191.171.7 - - [30/Oct/2022:17:57:20 -0700] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" "forgive490.com"
185.191.171.35 - - [30/Oct/2022:17:57:21 -0700] "GET /biblemand/endofstorym.html HTTP/1.1" 200 1854 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" "forgive490.com"
17.121.113.243 - - [30/Oct/2022:18:11:36 -0700] "GET /MindenPressHerald/Minden_Press-Herald_Online.htm HTTP/1.1" 200 543 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.forgive490.com"
17.121.113.6 - - [30/Oct/2022:18:11:37 -0700] "GET /MindenPressHerald/headlines.htm HTTP/1.1" 200 1538 "https://www.forgive490.com/MindenPressHerald/Minden_Press-Herald_Online.htm" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.forgive490.com"
17.121.115.95 - - [30/Oct/2022:18:11:38 -0700] "GET /MindenPressHerald/header.htm HTTP/1.1" 200 667 "https://www.forgive490.com/MindenPressHerald/Minden_Press-Herald_Online.htm" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.forgive490.com"
17.121.112.110 - - [30/Oct/2022:18:11:38 -0700] "GET /MindenPressHerald/index.htm HTTP/1.1" 200 1825 "https://www.forgive490.com/MindenPressHerald/Minden_Press-Herald_Online.htm" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.forgive490.com"
114.119.154.113 - - [30/Oct/2022:18:42:17 -0700] "GET /biblia-es/ HTTP/1.1" 200 406 "https://forgive490.com/" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "forgive490.com"
161.156.29.33 - - [30/Oct/2022:18:43:20 -0700] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; oBot/2.3.1; http://www.xforce-security.com/crawler/)" "forgive490.com"
161.156.29.33 - - [30/Oct/2022:18:43:21 -0700] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 (compatible; oBot/2.3.1; http://www.xforce-security.com/crawler/)" "forgive490.com"
161.156.29.33 - - [30/Oct/2022:18:43:23 -0700] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; oBot/2.3.1; http://www.xforce-security.com/crawler/)" "www.forgive490.com"
161.156.29.33 - - [30/Oct/2022:18:43:23 -0700] "GET / HTTP/1.1" 200 5836 "-" "Mozilla/5.0 (compatible; oBot/2.3.1; http://www.xforce-security.com/crawler/)" "www.forgive490.com"
34.217.214.229 - - [30/Oct/2022:18:57:20 -0700] "GET /bible/spread.html HTTP/1.1" 200 2854 "-" "Mozilla/5.0 Firefox/26.0" "forgive490.com"
65.108.40.25 - - [30/Oct/2022:19:00:07 -0700] "GET /robots.txt HTTP/1.1" 200 41 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "forgive490.com"
65.108.40.25 - - [30/Oct/2022:19:00:15 -0700] "GET /biblefrench/endofstory.html HTTP/1.1" 200 1619 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "forgive490.com"
65.108.40.25 - - [30/Oct/2022:19:00:17 -0700] "GET /biblefrench/endofstory.html HTTP/1.1" 200 1619 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "forgive490.com"
65.108.40.25 - - [30/Oct/2022:19:00:28 -0700] "GET /biblefrench/whatis.html HTTP/1.1" 200 4065 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "forgive490.com"
65.108.40.25 - - [30/Oct/2022:19:01:44 -0700] "GET /biblefrench/whatis.html HTTP/1.1" 200 4065 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" "forgive490.com"
